Premise Name,Company Brand Name,Address,Halal Certification Expiry Date,Halal Certification Body
(1) ONE PANTAI CAFE,PANTAI MEDICAL CENTRE SDN BHD (PANTAI HOSPITAL BATU PAHAT),NO.9S JALAN BINTANG SATU TAMAN KOPERASI BAHAGIA,2020-08-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
(1) ONE PANTAI CAFE KITCHEN,PANTAI MEDICAL CENTRE SDN BHD (PANTAI HOSPITAL BATU PAHAT),NO.9S JALAN BINTANG SATU TAMAN KOPERASI BAHAGIA,2020-08-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
(AJ ASHLEY SDN BHD (TAWAU),AJ ASHLEY SDN BHD,TB 1756 JALAN HJ KARIM TAWAU,2018-11-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
(MAIN KITCHEN)THE ROUND TOWER 1886 CAFE & RESTAURANT,NEX VISION F&B SDN BHD,ROUND TOWER LOT 32 SECTION 25 KTLD JALAN TUN ABANG HAJI OPENG,2025-10-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
0321102177J.CO QUEENSBAY MALL PENANG,ULTIMATE DONUT & COFFEE (M) SDN BHD,"LOT NO GF-55 & 56 (GF 105 & 103), QUEENSBAYMALL 1F -78, QUEENSBAY MALL, 100 PERSIARAN INDAH, BAYAN LEPAS,",2023-02-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
04 KHADIJAH BINTI MAT,KHADIJAH BINTI MAT,NO.04 MEDAN SELERA LUNDU,2022-05-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
0OLDTOWN WHITE COFFEE - BAYAN BARU,KOPITIAM ASIA PACIFIC SDN BHD,"NO. 62, GF & 1ST FLOOR JALAN MAYANG PASIR 1, BAYAN BARU",2022-10-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
1 PIZZA RIA,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC1, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG, 93050 KUCHING SARAWAK",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
1) FLAMINGO MAIN KITCHEN (1ST FLOOR),THE CITY BAYVIEW HOTEL LANGKAWI,THE CITY BAYVIEW HOTEL LANGKAWI JALAN PANDAK MAYAH 1 PUSAT BANDAR KUAH,2023-11-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
10 BINJAI RESTAURANT,PNB PERDANA HOTEL & SUITES ON THE PARK,"PNB PERDANA HOTEL & SUITES ON THE PARK KUALA LUMPUR 10, JALAN BINJAI",2022-02-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
10 BINJAI RESTAURANT (FORMERLY KNOWN AS PNB DARBY CAFE),PNB PERDANA HOTEL & SUITES ON THE PARK,"PNB DARBY PARK EXECUTIVE SUITES, KUALA LUMPUR10 JALAN BINJAI50450 KUALA LUMPUR",2020-02-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
10 CHICKEN DUCK RESTAURANT,10 CHICKEN DUCK RESTAURANT,"NO 10, KAWASAN REHAT &  RAWAT NILAI, ARAH SELATAN,  LEUHRAYA KL-SEREMBAN,",2025-10-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
10 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC10, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/ MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
10A JALAN KAMPUNG BARU,NASI KANDAR NASMIR SDN BHD,SUNGAI PETANI,2019-06-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
10BINJAI,BOLD HOTEL & RESIDENCES KUALA LUMPUR SDN. BHD.,"10, JALAN BINJAI",2024-11-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
"11 BREAK CAFE, HENTIAN SEBELAH BUKIT GANTANG (U)",11 BREAK CAFE,"NO. 11, HENTIAN SEBELAH BUKIT GANTANG (U), PROJEK LEBUHRAYA UTARA SELATAN (PLUS), CHANGKAT JERING,",2024-07-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
11 GERAI MAKANAN LAUT,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC11, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-02-29,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
11119136122PASTRY KITCHEN,BEI HOLDINGS SDN BHD (DYNASTY HOTEL),LOT 683 BLOCK 9 JALAN PUJUT-LUTONG,2018-04-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
12 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC12 SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
"12, JALAN KASKAS,",KING'S CONFECTIONERY SDN BHD,"TAMAN CHERAS, 56100 KUALA LUMPUR",2011-01-14,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
13 GERAI MINUMAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC13, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
1371 & 1372 JALAN SUNGAI BAKAP,NASI KANDAR NASMIR SDN BHD,TAMAN SUNGAI BAKAP PERMAI,2022-12-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
14 MAKANAN KELANTAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC14, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
15 MEE SAPI LAKSA,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC15 SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/ MINUMAN), JALAN MATANG",2024-01-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
"15-17, JALAN DATO SERI AHMAD SAID",PAKEEZA RESTAURANT & CATERING (RESTORAN NAIZ ALI SDN BHD),"IPOH, PERAK",2014-10-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
151 HUGH LOW KOPITIAM NU SENTRAL,SPLENDID RECIPE SDN. BHD.,"LG26, NU SENTRAL SHOPPING MALL NO201, JALAN TUN SAMBATHAN, 50450",2021-12-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
16 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC16, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
163 JALAN LAGENDA 1,NASI KANDAR NASMIR SDN BHD,LAGENDA HEIGHTS,2019-06-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
1639 JALAN PERUSAHAAN BUKIT TENGAH,NASI KANDAR NASMIR SDN BHD,TAMAN PELANGI BUKIT MERTAJAM,2022-12-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
17 YONG TAU FOO,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC17, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2025-10-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
18 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC18, SEDC CORPORATION KUBAHRIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG, 93050, KUCHING, SARAWAK.",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
19 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC19, SEDC CORPORATION KUBAHRIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG, 93050, KUCHING, SARAWAK.",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
"195, LEBUH CARNARVON",DEDALO FOOD SDN BHD,"195, LEBUH CARNARVON",2023-04-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
1MAIN KITCHEN - LEVEL 2,OLIVE TREE CONCEPTS SDN. BHD. (OLIVE TREE HOTEL PENANG),"76, JALAN MAHSURI, BAYAN LEPAS",2019-12-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
2 DZAR CORNER,BIBI DIANA BINTI MOHAMED ZAN,NO.30 TAMAN SELERA HARMONI,2024-02-29,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
2) PHOENIX CHINESE RESTAURANT (1ST FLOOR),THE CITY BAYVIEW HOTEL LANGKAWI,THE CITY BAYVIEW HOTEL LANGKAWI JALAN PANDAK MAYAH 1 PUSAT BANDAR KUAH,2023-11-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
20 GERAI MINUMAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC20, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/ MINUMAN), JALAN MATANG, 93050, KUCHING, SARAWAK.",2024-01-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
21 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC21, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG, 93050, KUCHING, SARAWAK.",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
216KFC TABUAN JAYA,KFC (SARAWAK) SDN BHD,"SHOPLOT 8912, BLOCK 11 MTLDTABUAN JAYA, KUCHINGSARAWAK",2018-01-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
22 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC22, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG, 93050, KUCHING, SARAWAK.",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
23 HOT PLATE,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC23, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-01-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
23 JALAN JENTAYU INDAH,NASI KANDAR NASMIR SDN BHD,TAMAN JENYATU INDAH SIMPANG AMPAT,2020-11-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
24 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC24, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
25 GERAI MINUMAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC25, SEDC CORPORATION KUBAHRIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
26 MAKANAN BARAT,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC26, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2024-02-29,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
27 PELBAGAI MAKANAN,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC27, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
28 MEE KARI,PERBADANAN PEMBANGUNAN EKONOMI SARAWAK,"FC28, SEDC CORPORATION KUBAH RIA COMPLEX (MAKANAN/MINUMAN), JALAN MATANG",2023-11-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
2870 MUKIM KELADI,NASI KANDAR NASMIR SDN BHD,KULIM,2019-06-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
