Premise Name,Company Brand Name,Address,Halal Certification Expiry Date,Halal Certification Body
KYROS KEBAB KLCC,KYROS KEBAB SDN BHD,"SURIA KLCC FOOD COURT2ND FLOOR, SURIA KLCCJALAN AMPANG, KUALA LUMPUR",2019-08-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
JONKER WALK KOPITIAM,GOLDEN BAGS CORPORATIONS SDN.BHD,"LOT 19E, GATE B3, CONTACT PIER DOMESTIC DEPARTURE, LEVEL 3, MAIN TERMINAL BUILDING KLIA.",2017-12-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
DOMINOS PIZZA ( BPK ),DOMMAL FOOD SERVICES SDN BHD,"NO.170, PERSIARAN RAJA MUDA MUSA, PORT KLANG, SELANGOR DARUL EHSAN",2017-12-15,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
MCDONALD'S PERSIARAN RAJA MUDA MUSA DRIVE THRU,GERBANG ALAF RESTAURANTS SDN BHD (FORMERLY KNOWN AS GOLDEN ARCHES RESTAURANTS SDN BHD),"LOT PT 3358, SEKSYEN 31,PERSIARAN RAJA MUDA MUSA (KS 05) BANDAR KLANG,BANDAR DIRAJA KLANG",2017-11-30,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
KFC AEON BUKIT RAJA,KFC (PENINSULAR MALAYSIA) SDN BHD,"G-32 GROUNF FLOOR, PERSIARAN BUKIT RAJA BANDAR BARU KLANG",2017-12-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
KFC AEON BUKIT TINGGI,KFC (PENINSULAR MALAYSIA) SDN BHD,"LOT G30, GROUND FLOOR, AEON BUKIT TINGGI SHOPPING CENTRE1, PERSIARAN BATU NILAI 1/KS 6BANDAR BARU BUKIT TINGGI 241200 KLANGSELANGOR",2017-12-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
KFC BUKIT RAJA,KFC (PENINSULAR MALAYSIA) SDN BHD,"LOT G-42, GROUND FLOORBUKIT RAJA SHOPPING KOMPLEKS41150 BANDAR BARU KLANGSELANGOR",2017-12-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
KFC CARREFOUR KLANG,KFC (PENINSULAR MALAYSIA) SDN BHD,"LOT NO. 9, GROUND FLOORCARREFOUR KLANG SHOPPING CENTRENO. 2, JALAN HARMONISOFF JALAN KAPAR42100 KLANG, SELANGOR",2017-12-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
KFC GIANT BUKIT TINGGI,KFC (PENINSULAR MALAYSIA) SDN BHD,"LOT NO. 41, GIANT HYPERMARKET BUKIT TINGGILOT 83191-83192, PERSIARAN SRI NILAMKLANGSELANGOR",2017-12-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
KFC KAPAR KLANG,KFC (PENINSULAR MALAYSIA) SDN BHD,NO. 222 (PT 1278) JALAN BESARK.U/13 PEKAN KAPAR42200 KLANGSELANGOR,2017-12-31,JABATAN KEMAJUAN ISLAM MALAYSIA (JAKIM)
